41.886113732|-87.640936966|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.1|L- 16
41.881361754|-87.626658079|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.2|L-109
41.889321693|-87.770222523|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.3|L-222
41.885365397|-87.636472748|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.4|L-188
41.912604055|-87.630255420|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.5|L-107
41.905621479|-87.700804442|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.6|L-116
41.871508891|-87.648357516|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.7|L- 43
41.885631668|-87.698362335|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.16|L-203
41.863957640|-87.623610075|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.17|L-229
41.894314941|-87.624620782|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.18|L- 07
41.830751074|-87.607473868|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.19|L- 26
41.854911849|-87.619533594|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.20|L-210
41.892878525|-87.627737147|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.21|L-196
41.924719475|-87.639445770|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.22|L-173
41.824585947|-87.622640657|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.23|L-190
41.877876444|-87.634778221|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.24|L- 56
41.994308848|-87.821606591|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.25|L-212
41.886518364|-87.626784766|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.26|L-195
41.765472301|-87.571010820|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.27|L-147
41.779398852|-87.645528850|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.28|L-267
41.948144831|-87.655542587|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.29|L- 04
41.881707117|-87.631953581|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.30|L-253
41.728094099|-87.552758661|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.8|L- 06
41.885388506|-87.627223223|http://icons.opengeo.org/markers/icon-poly.1.png|#FFFFFF|0.4|geo_bddq-yxar-1.9|L- 69
